bird_id,species_name,image_path,source_url,source_title,width,height,file_size_mb,source,license,image_number,quality_score
7,Common Blackbird,bird_images_wikimedia\bird_07_5_Common_Blackbird.jpg,https://upload.wikimedia.org/wikipedia/commons/3/31/Male_common_blackbird_%28Turdus_merula%29_and_fledging_common_blackbird%2C_Jardim_da_Funda%C3%A7%C3%A3o_Calouste_Gulbenkian%2C_Lisbon%2C_Portugal_julesvernex2.jpg,"File:Male common blackbird (Turdus merula) and fledging common blackbird, Jardim da Fundação Calouste Gulbenkian, Lisbon, Portugal julesvernex2.jpg",3573,2854,4.425365447998047,Wikimedia Commons,Free Use (Wikimedia Commons),5,6
8,Common Chaffinch,bird_images_wikimedia\bird_08_1_Common_Chaffinch.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ee/Common_chaffinch.jpg,File:Common chaffinch.jpg,3768,2512,1.2188730239868164,Wikimedia Commons,Free Use (Wikimedia Commons),1,6
8,Common Chaffinch,bird_images_wikimedia\bird_08_2_Common_Chaffinch.jpg,https://upload.wikimedia.org/wikipedia/commons/e/eb/Common_chaffinch_in_Botevgrad%2C_Bulgaria.jpg,"File:Common chaffinch in Botevgrad, Bulgaria.jpg",2730,1815,1.5498228073120117,Wikimedia Commons,Free Use (Wikimedia Commons),2,6
8,Common Chaffinch,bird_images_wikimedia\bird_08_3_Common_Chaffinch.jpg,https://upload.wikimedia.org/wikipedia/commons/6/61/Common_chaffinch%2C_male.jpg,"File:Common chaffinch, male.jpg",2389,2389,0.3871498107910156,Wikimedia Commons,Free Use (Wikimedia Commons),3,6
8,Common Chaffinch,bird_images_wikimedia\bird_08_4_Common_Chaffinch.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c4/Male_common_chaffinch_in_a_hedge%2C_Fallaghearn_-_geograph.org.uk_-_7466095.jpg,"File:Male common chaffinch in a hedge, Fallaghearn - geograph.org.uk - 7466095.jpg",1024,686,0.18817424774169922,Wikimedia Commons,Free Use (Wikimedia Commons),4,6
8,Common Chaffinch,bird_images_wikimedia\bird_08_5_Common_Chaffinch.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9c/Common_chaffinch_%28male%29_%2847050885691%29.jpg,File:Common chaffinch (male) (47050885691).jpg,4608,3456,3.1720762252807617,Wikimedia Commons,Free Use (Wikimedia Commons),5,6
9,Common Chiffchaff,bird_images_wikimedia\bird_09_1_Common_Chiffchaff.jpg,https://upload.wikimedia.org/wikipedia/commons/0/05/Phylloscopus_collybita_-_Common_Chiffchaff%2C_Adana_2016-11-27_01-4.jpg,"File:Phylloscopus collybita - Common Chiffchaff, Adana 2016-11-27 01-4.jpg",2550,1759,2.991805076599121,Wikimedia Commons,Free Use (Wikimedia Commons),1,6
9,Common Chiffchaff,bird_images_wikimedia\bird_09_2_Common_Chiffchaff.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f6/Common_Chiffchaff_2025_05_23.jpg,File:Common Chiffchaff 2025 05 23.jpg,3400,2267,4.305147171020508,Wikimedia Commons,Free Use (Wikimedia Commons),2,6
9,Common Chiffchaff,bird_images_wikimedia\bird_09_3_Common_Chiffchaff.jpg,https://upload.wikimedia.org/wikipedia/commons/0/08/Phylloscopus_collybita_-_Common_Chiffchaff%2C_Adana_2016-12-27_02-1.jpg,"File:Phylloscopus collybita - Common Chiffchaff, Adana 2016-12-27 02-1.jpg",2050,1355,0.5210514068603516,Wikimedia Commons,Free Use (Wikimedia Commons),3,6
9,Common Chiffchaff,bird_images_wikimedia\bird_09_4_Common_Chiffchaff.jpg,https://upload.wikimedia.org/wikipedia/commons/0/08/Phylloscopus_collybita_-_Common_Chiffchaff%2C_Adana_2016-11-27_01-1.jpg,"File:Phylloscopus collybita - Common Chiffchaff, Adana 2016-11-27 01-1.jpg",2750,1854,3.549631118774414,Wikimedia Commons,Free Use (Wikimedia Commons),4,6
9,Common Chiffchaff,bird_images_wikimedia\bird_09_5_Common_Chiffchaff.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b2/Phylloscopus_collybita_-_Common_Chiffchaff%2C_Adana_2016-11-27_02-3.jpg,"File:Phylloscopus collybita - Common Chiffchaff, Adana 2016-11-27 02-3.jpg",1750,1210,1.3364543914794922,Wikimedia Commons,Free Use (Wikimedia Commons),5,6
10,Common Cuckoo,bird_images_wikimedia\bird_10_1_Common_Cuckoo.jpg,https://upload.wikimedia.org/wikipedia/commons/1/17/Male_common_cuckoo_%28Cuculus_canorus%29.jpg,File:Male common cuckoo (Cuculus canorus).jpg,1500,1041,1.4510698318481445,Wikimedia Commons,Free Use (Wikimedia Commons),1,6
10,Common Cuckoo,bird_images_wikimedia\bird_10_2_Common_Cuckoo.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b5/Cuco-canoro%2C_macho%2C_Common_Cuckoo%2C_male_%2852779419240%29.jpg,"File:Cuco-canoro, macho, Common Cuckoo, male (52779419240).jpg",5659,3697,3.4850683212280273,Wikimedia Commons,Free Use (Wikimedia Commons),2,6
10,Common Cuckoo,bird_images_wikimedia\bird_10_3_Common_Cuckoo.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a1/Cuco-canoro%2C_macho%2C_Common_Cuckoo%2C_male_%2852824632664%29.jpg,"File:Cuco-canoro, macho, Common Cuckoo, male (52824632664).jpg",4153,2796,2.356520652770996,Wikimedia Commons,Free Use (Wikimedia Commons),3,6
